date,stock,price
2025-01-01,AAPL,145
2025-01-02,AAPL,150
2025-01-03,AAPL,147
2025-01-04,AAPL,153
2025-01-05,AAPL,158
2025-01-06,AAPL,155
2025-01-07,AAPL,160
2025-01-08,AAPL,163
2025-01-09,AAPL,159
2025-01-10,AAPL,166
2025-01-11,AAPL,170
2025-01-12,AAPL,168
2025-01-01,MSFT,240
2025-01-02,MSFT,235
2025-01-03,MSFT,243
2025-01-04,MSFT,250
2025-01-05,MSFT,248
2025-01-06,MSFT,255
2025-01-07,MSFT,252
2025-01-08,MSFT,260
2025-01-09,MSFT,265
2025-01-10,MSFT,262
2025-01-11,MSFT,270
2025-01-12,MSFT,275
2025-01-01,GOOG,120
2025-01-02,GOOG,125
2025-01-03,GOOG,122
2025-01-04,GOOG,130
2025-01-05,GOOG,128
2025-01-06,GOOG,135
2025-01-07,GOOG,132
2025-01-08,GOOG,140
2025-01-09,GOOG,138
2025-01-10,GOOG,145
2025-01-11,GOOG,142
2025-01-12,GOOG,150
2025-01-01,TSLA,300
2025-01-02,TSLA,310
2025-01-03,TSLA,305
2025-01-04,TSLA,320
2025-01-05,TSLA,315
2025-01-06,TSLA,330
2025-01-07,TSLA,325
2025-01-08,TSLA,340
2025-01-09,TSLA,335
2025-01-10,TSLA,350
2025-01-11,TSLA,345
2025-01-12,TSLA,360
2025-01-01,AMZN,180
2025-01-02,AMZN,185
2025-01-03,AMZN,182
2025-01-04,AMZN,190
2025-01-05,AMZN,188
2025-01-06,AMZN,195
2025-01-07,AMZN,192
2025-01-08,AMZN,200
2025-01-09,AMZN,198
2025-01-10,AMZN,205
2025-01-11,AMZN,202
2025-01-12,AMZN,210
